"term","estimate","std_error","statistic","p_value","p_value_display"
"(Intercept)",81988.8170744063,853.032297742944,96.1145519241677,0,"<0.001"
"cgpa",4339.22106176067,98.1235313964302,44.2220229949707,0,"<0.001"
"college_tierTier 2",-12004.744219212,176.719482880083,-67.9310737195748,0,"<0.001"
"college_tierTier 3",-27526.3803478395,189.365660878795,-145.360992167729,0,"<0.001"
"countryGermany",-3584.33691089537,232.681325405561,-15.4044889706895,1.45856319811945e-52,"<0.001"
"countryIndia",-45843.5891849304,231.746752965127,-197.817611674709,0,"<0.001"
"countryUK",3397.7989284381,235.300762688164,14.4402376329782,1.66203913887479e-46,"<0.001"
"countryUSA",14067.5561206996,230.944586228755,60.9131235783349,0,"<0.001"
"university_ranking_band300+",-2217.79596078383,167.669459169627,-13.2271909969015,2.10938224352643e-39,"<0.001"
"university_ranking_bandTop 100",2687.63927203404,191.314392894233,14.0482858156933,3.79426142050914e-44,"<0.001"
"aptitude_score",7.62620692607649,5.06953727422035,1.50432012106062,0.132550453649771,"0.133"
"specializationCloud",-9782.4552551679,231.20674061671,-42.3104241211768,0,"<0.001"
"specializationCore CS",-10152.6296491797,233.960038863587,-43.3947168862428,0,"<0.001"
"specializationCybersecurity",-9910.51796446658,232.054131656131,-42.7077850057524,0,"<0.001"
"specializationData Science",-263.988685884512,232.075572247459,-1.13751173089008,0.255368861045814,"0.255"
"industryFinance",3677.97533184955,249.501937687281,14.7412696107372,2.33624903665663e-48,"<0.001"
"industryHealthcare",291.572810311968,248.384067580628,1.1738788769828,0.240489126414451,"0.240"
"industryManufacturing",361.690629142436,258.015396825918,1.40181800618072,0.16102020648698,"0.161"
"industryOther",86.4257565755736,258.889748317517,0.333832286281094,0.738517532109001,"0.739"
"industryTech",6742.55378312376,246.366663517791,27.3679632091818,1.08440659513402e-155,"<0.001"
