term_group,term,estimate,estimate_dollars,std.error,statistic,p.value,p_value_label,conf.low,conf_low_dollars,conf.high,conf_high_dollars,statistically_significant_05
intercept,(Intercept),86863.69643442488,"$86,864",834.013777877152,104.15139262509842,0,<2.2e-16,85228.73553653517,"$85,229",88498.6573323146,"$88,499",TRUE
numeric_predictor,cgpa,4316.88018034865,"$4,317",86.42619383216514,49.948748046590964,0,<2.2e-16,4147.454385215275,"$4,147",4486.305975482026,"$4,486",TRUE
numeric_predictor,aptitude_score,7.022976004941442,$7,4.46503110940056,1.57288400301522,0.11579746517187925,0.116,-1.7300583757523507,-$2,15.776010385635235,$16,FALSE
college_tier_main_effect,college_tierTier 2,-15621.947854410279,"-$15,622",350.73939838059044,-44.54004291088726,0,<2.2e-16,-16309.520670247013,"-$16,310",-14934.375038573544,"-$14,934",TRUE
college_tier_main_effect,college_tierTier 3,-32959.90164700297,"-$32,960",375.18612123571904,-87.84946932057537,0,<2.2e-16,-33695.39865427383,"-$33,695",-32224.404639732107,"-$32,224",TRUE
country_main_effect,countryGermany,-3915.2087392734566,"-$3,915",564.1680691808997,-6.939791443634593,4.332469473669407e-12,4.332e-12,-5021.1769587632,"-$5,021",-2809.2405197837134,"-$2,809",TRUE
country_main_effect,countryIndia,-55934.70372644527,"-$55,935",575.4203070468318,-97.206690555488,0,<2.2e-16,-57062.73029726271,"-$57,063",-54806.677155627825,"-$54,807",TRUE
country_main_effect,countryUK,1153.0777451089498,"$1,153",571.2369602091807,2.0185629177193043,0.04357628024151059,0.044,33.25200823849855,$33,2272.903481979401,"$2,273",TRUE
country_main_effect,countryUSA,4355.153370541547,"$4,355",565.3266183765172,7.703782608093893,1.5316937746422742e-14,1.532e-14,3246.913986374,"$3,247",5463.392754709093,"$5,463",TRUE
specialization_main_effect,specializationCloud,-12140.45819364416,"-$12,140",466.82975226285726,-26.006179200866885,1.670716816868426e-141,1.671e-141,-13055.609011492801,"-$13,056",-11225.307375795517,"-$11,225",TRUE
specialization_main_effect,specializationCore CS,-12836.357782723702,"-$12,836",469.679477272028,-27.330037619014735,2.955095172740123e-155,2.955e-155,-13757.095065788293,"-$13,757",-11915.620499659111,"-$11,916",TRUE
specialization_main_effect,specializationCybersecurity,-11898.146366900646,"-$11,898",471.83271799426154,-25.216874356401355,1.455151391759968e-133,1.455e-133,-12823.104760548755,"-$12,823",-10973.187973252538,"-$10,973",TRUE
specialization_main_effect,specializationData Science,-680.2519596391928,-$680,468.52861243399286,-1.4518898986879438,0.14658357444318085,0.147,-1598.7331420746877,"-$1,599",238.22922279630222,$238,FALSE
university_ranking_band_effect,university_ranking_band300+,-2181.0200077316745,"-$2,181",147.45740486798294,-14.790847632808394,1.1569370604857285e-48,1.157e-48,-2470.0884829277225,"-$2,470",-1891.9515325356265,"-$1,892",TRUE
university_ranking_band_effect,university_ranking_bandTop 100,2698.785484102262,"$2,699",168.42376287765396,16.02378095579487,1.2280711769598668e-56,1.228e-56,2368.615558994654,"$2,369",3028.9554092098706,"$3,029",TRUE
industry_effect,industryFinance,3636.2851653179177,"$3,636",219.51754394225802,16.564895452157607,2.54577117422247e-60,2.546e-60,3205.9534246841995,"$3,206",4066.616905951636,"$4,067",TRUE
industry_effect,industryHealthcare,72.8164176788498,$73,218.76521966165072,0.33285189387723513,0.7392575054236088,0.739,-356.04050225771306,-$356,501.67333761541266,$502,FALSE
industry_effect,industryManufacturing,285.11999632289286,$285,227.04703495103254,1.2557750264582181,0.20924557461337154,0.209,-159.97219996144145,-$160,730.2121926072272,$730,FALSE
industry_effect,industryOther,-76.59426428583726,-$77,227.91480062435718,-0.336065337029506,0.7368331385403515,0.737,-523.387587076772,-$523,370.1990585050974,$370,FALSE
industry_effect,industryTech,6681.130950029525,"$6,681",216.75535875521985,30.823371511541147,4.881982487252179e-194,4.882e-194,6256.2140657127275,"$6,256",7106.047834346322,"$7,106",TRUE
country_x_college_tier_interaction,college_tierTier 2:countryGermany,-56.038338495883394,-$56,490.1724357068864,-0.11432372449721598,0.9089849333422226,0.909,-1016.9490414868873,"-$1,017",904.8723644951205,$905,FALSE
country_x_college_tier_interaction,college_tierTier 3:countryGermany,45.93384394573661,$46,529.6089493003353,0.08673162341085751,0.9308876817716667,0.931,-992.2863224914244,-$992,1084.1540103828975,"$1,084",FALSE
country_x_college_tier_interaction,college_tierTier 2:countryIndia,6275.577654296779,"$6,276",495.2773649461222,12.670834765443916,2.450923746691427e-36,2.451e-36,5304.659491100634,"$5,305",7246.495817492923,"$7,246",TRUE
country_x_college_tier_interaction,college_tierTier 3:countryIndia,14640.07411335025,"$14,640",528.8367621090784,27.683540862332435,5.105737941048014e-159,5.106e-159,13603.367705914494,"$13,603",15676.780520786007,"$15,677",TRUE
country_x_college_tier_interaction,college_tierTier 2:countryUK,2192.856274571601,"$2,193",499.57379817435947,4.389454135875753,1.1554986005208413e-5,1.155e-05,1213.5155882530667,"$1,214",3172.196960890135,"$3,172",TRUE
country_x_college_tier_interaction,college_tierTier 3:countryUK,1522.1063015598943,"$1,522",533.703122471292,2.851971887501499,0.004359477171269391,0.004,475.8601129858555,$476,2568.3524901339333,"$2,568",TRUE
country_x_college_tier_interaction,college_tierTier 2:countryUSA,9494.347540190716,"$9,494",488.52642583231375,19.434665226174772,1.1040035561809723e-81,1.104e-81,8536.663596581693,"$8,537",10452.03148379974,"$10,452",TRUE
country_x_college_tier_interaction,college_tierTier 3:countryUSA,10024.407215678626,"$10,024",522.3379726869083,19.19141961690635,9.352454058271244e-80,9.352e-80,9000.44072558082,"$9,000",11048.373705776432,"$11,048",TRUE
country_x_specialization_interaction,countryGermany:specializationCloud,218.4852806092857,$218,651.1706170313134,0.33552693394760347,0.737239152273728,0.737,-1058.0385909876306,"-$1,058",1495.0091522062019,"$1,495",FALSE
country_x_specialization_interaction,countryIndia:specializationCloud,5353.631894990687,"$5,354",649.0016405711456,8.249026751734082,1.9379997550366367e-16,1.938e-16,4081.3599815686634,"$4,081",6625.903808412711,"$6,626",TRUE
country_x_specialization_interaction,countryUK:specializationCloud,1320.1315512420804,"$1,320",648.1558024296862,2.036750340417252,0.04171809522572945,0.042,49.5177786372858,$50,2590.745323846875,"$2,591",TRUE
country_x_specialization_interaction,countryUSA:specializationCloud,4440.41785577001,"$4,440",650.9825566750641,6.8211011343372,9.904172717805219e-12,9.904e-12,3164.2626487408343,"$3,164",5716.573062799185,"$5,717",TRUE
country_x_specialization_interaction,countryGermany:specializationCore CS,370.72829702540685,$371,646.6922410012662,0.5732685093784525,0.56648400466793,0.566,-897.0163794438095,-$897,1638.4729734946231,"$1,638",FALSE
country_x_specialization_interaction,countryIndia:specializationCore CS,5356.400645385787,"$5,356",654.1653376210933,8.188145010655289,3.2016570949573927e-16,3.202e-16,4074.0060661407815,"$4,074",6638.795224630793,"$6,639",TRUE
country_x_specialization_interaction,countryUK:specializationCore CS,1059.8167419360097,"$1,060",671.681553436887,1.5778559594395545,0.11465048072778435,0.115,-256.9157927450731,-$257,2376.549276617093,"$2,377",FALSE
country_x_specialization_interaction,countryUSA:specializationCore CS,5699.575340605936,"$5,700",653.6468699427222,8.719655218582135,3.550180189625985e-18,3.550e-18,4418.197140710338,"$4,418",6980.953540501533,"$6,981",TRUE
country_x_specialization_interaction,countryGermany:specializationCybersecurity,-351.12953172728754,-$351,646.5899987496454,-0.5430481950019184,0.5871164321834267,0.587,-1618.6737773547761,"-$1,619",916.41471390020115,$916,FALSE
country_x_specialization_interaction,countryIndia:specializationCybersecurity,4470.145116254414,"$4,470",656.9062607984117,6.804844744243031,1.1080094853469718e-11,1.108e-11,3182.377361723933,"$3,182",5757.912870784894,"$5,758",TRUE
country_x_specialization_interaction,countryUK:specializationCybersecurity,1029.4953323972886,"$1,029",657.8654609395027,1.564902542424189,0.11765755806989162,0.118,-260.15279241667326,-$260,2319.1434572112503,"$2,319",FALSE
country_x_specialization_interaction,countryUSA:specializationCybersecurity,4266.47674693289,"$4,266",656.747517518578,6.496372857339655,8.877318428736966e-11,8.877e-11,2979.020185169502,"$2,979",5553.933308696278,"$5,554",TRUE
country_x_specialization_interaction,countryGermany:specializationData Science,791.0717491797728,$791,651.7484690614278,1.2137684808358387,0.22488306825958965,0.225,-486.584916022074,-$487,2068.7284143816196,"$2,069",FALSE
country_x_specialization_interaction,countryIndia:specializationData Science,199.07447785647736,$199,647.4886007455374,0.30745634382946224,0.7585065278979197,0.759,-1070.2313443360756,"-$1,070",1468.3803000490304,"$1,468",FALSE
country_x_specialization_interaction,countryUK:specializationData Science,944.219842967309,$944,662.3313120538551,1.4256004899411023,0.15403478670048906,0.154,-354.182923726009,-$354,2242.622609660627,"$2,243",FALSE
country_x_specialization_interaction,countryUSA:specializationData Science,512.9240187346758,$513,649.1320538120763,0.7901689890716247,0.4294597544386347,0.429,-759.6035505951335,-$760,1785.451588064485,"$1,785",FALSE
