country,specialization,college_tier,cgpa,aptitude_score,university_ranking_band,industry,predicted_salary,predicted_salary_display
Canada,AI/ML,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,125069.79899377542,"$125,070"
Canada,Cloud,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,112929.34080013126,"$112,929"
Canada,Core CS,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,112233.44121105172,"$112,233"
Canada,Cybersecurity,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,113171.65262687477,"$113,172"
Canada,Data Science,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,124389.54703413622,"$124,390"
Germany,AI/ML,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,121154.59025450196,"$121,155"
Germany,Cloud,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,109232.61734146709,"$109,233"
Germany,Core CS,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,108688.96076880366,"$108,689"
Germany,Cybersecurity,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,108905.31435587403,"$108,905"
Germany,Data Science,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,121265.41004404254,"$121,265"
India,AI/ML,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,69135.09526733015,"$69,135"
India,Cloud,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,62348.26896867667,"$62,348"
India,Core CS,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,61655.13812999223,"$61,655"
India,Cybersecurity,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,61707.09401668391,"$61,707"
India,Data Science,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,68653.91778554744,"$68,654"
UK,AI/ML,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,126222.87673888437,"$126,223"
UK,Cloud,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,115402.5500964823,"$115,403"
UK,Core CS,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,114446.33569809668,"$114,446"
UK,Cybersecurity,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,115354.22570438101,"$115,354"
UK,Data Science,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,126486.84462221249,"$126,487"
USA,AI/ML,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,129424.95236431697,"$129,425"
USA,Cloud,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,121724.91202644282,"$121,725"
USA,Core CS,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,122288.1699221992,"$122,288"
USA,Cybersecurity,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,121793.28274434921,"$121,793"
USA,Data Science,Tier 1,7.187092080807398,71.07474822519706,100-300,Tech,129257.62442341245,"$129,258"
