"term","estimate","std_error","statistic","p_value","p_value_display"
"(Intercept)",81523.4939492224,978.559508473485,83.309694753665,0,"<0.001"
"cgpa",4340.88955886679,100.663816730487,43.1226402878097,0,"<0.001"
"backlogs",17.0055428253239,78.6694677969297,0.216164457464241,0.82886675109858,"0.829"
"college_tierTier 2",-12004.3268905598,176.789060772889,-67.9019778603899,0,"<0.001"
"college_tierTier 3",-27527.2629997834,189.473562499519,-145.282870267736,0,"<0.001"
"countryGermany",-3584.2359129443,232.793089478686,-15.3966594153236,1.64125393547931e-52,"<0.001"
"countryIndia",-45845.5392470287,231.897708894294,-197.69724964349,0,"<0.001"
"countryUK",3396.54561010637,235.374260311747,14.4304037561615,1.90999796626108e-46,"<0.001"
"countryUSA",14069.4479645282,231.019338297372,60.9016027325719,0,"<0.001"
"university_ranking_band300+",-2222.13098296854,167.841346508933,-13.2394730451609,1.80088640366487e-39,"<0.001"
"university_ranking_bandTop 100",2689.65997967794,191.578403284072,14.0394738319732,4.28444516983665e-44,"<0.001"
"internship_count",6.79774835050579,59.2511222216757,0.114727756970972,0.908664670432735,"0.909"
"aptitude_score",7.6617023766814,5.07200446040132,1.51058667958568,0.130945341412748,"0.131"
"communication_score",3.82915715728887,4.9979360044032,0.766147696552211,0.443617930785641,"0.444"
"specializationCloud",-9778.89544747851,231.496859388136,-42.2420220875777,0,"<0.001"
"specializationCore CS",-10149.4810584172,234.113540991896,-43.3528151144768,0,"<0.001"
"specializationCybersecurity",-9908.11269247269,232.244511298286,-42.6624191766025,0,"<0.001"
"specializationData Science",-263.809400525207,232.174966191647,-1.13625256354058,0.255895303015771,"0.256"
"industryFinance",3676.69963316561,249.691785134785,14.7249523294525,2.95352101541159e-48,"<0.001"
"industryHealthcare",287.73668317629,248.614399523947,1.15736129414569,0.247169882705491,"0.247"
"industryManufacturing",358.262536435881,258.169265780532,1.38770405281486,0.165277628703024,"0.165"
"industryOther",90.3855638154048,259.060507752049,0.348897501204291,0.727178246073529,"0.727"
"industryTech",6742.66207998367,246.700795342504,27.3313349907226,2.68546880710451e-155,"<0.001"
"internship_quality_score",32.267108836834,50.0606493853293,0.644560332976628,0.519236270164319,"0.519"
