"observation","fitted","residual","std_residual","studentized_residual","leverage","cooks_distance","high_cooks_sensitive","high_cooks_class","high_leverage","outlier_studentized"
18,86225.1060539274,11778.1224238503,2.28091909997322,2.28170214281479,0.00483528067804866,0.000902793556176462,TRUE,FALSE,FALSE,FALSE
67,84226.3141070384,-13088.055514673,-2.5342049976229,-2.53532763683077,0.00452724733373233,0.0010431104566959,TRUE,FALSE,FALSE,FALSE
98,47953.2656782791,-16233.4258051333,-3.14389119338379,-3.14617409002544,0.00494301423648068,0.00175356105363305,TRUE,FALSE,FALSE,TRUE
101,100862.928688793,14833.372216916,2.87246663765585,2.87416870784407,0.00474948861352267,0.00140626250250276,TRUE,FALSE,FALSE,FALSE
130,71254.6134844785,-12718.30706097,-2.46348367685379,-2.46450380618875,0.00523192125707663,0.00113993661873537,TRUE,FALSE,FALSE,FALSE
146,109288.021924577,10711.9780754226,2.07394378038689,2.07450300322338,0.00434702054246012,0.000670686589381235,TRUE,FALSE,FALSE,FALSE
184,81821.9772169981,13317.5635157513,2.57861446034114,2.57980464081941,0.00450442826605796,0.0010745215720263,TRUE,FALSE,FALSE,FALSE
187,131913.45581634,-11913.4558163402,-2.30724276749576,-2.30805762273594,0.0049348026847754,0.000942859129542045,TRUE,FALSE,FALSE,FALSE
198,93965.5677661356,11684.6771177222,2.26284246588317,2.26360411273455,0.00485263392094503,0.000891745119744909,TRUE,FALSE,FALSE,FALSE
260,38727.0599405192,13534.155518457,2.62047578022485,2.62173191241866,0.00444643585388979,0.00109534181854562,TRUE,FALSE,FALSE,FALSE
275,107324.402156128,10534.0635914091,2.04000685552182,2.04053365509387,0.00484386606520753,0.000723446007806211,TRUE,FALSE,FALSE,FALSE
276,38272.4871273433,11968.1055619892,2.31747396440445,2.31830139541459,0.00463193878138758,0.000892587510731343,TRUE,FALSE,FALSE,FALSE
316,109450.128919862,10549.8710801379,2.04316353381947,2.04369330035866,0.00493682526584856,0.000739682472895527,TRUE,FALSE,FALSE,FALSE
317,69369.1590926048,-10266.4520205627,-1.98834981246348,-1.98882946512586,0.00501213308539897,0.00071126651461322,TRUE,FALSE,FALSE,FALSE
401,69860.0716713539,10790.181919232,2.09028788085111,2.09086313571407,0.00549279241798019,0.000861865359073129,TRUE,FALSE,FALSE,FALSE
412,50235.4311189483,-12037.930431955,-2.33038492624032,-2.33122839687766,0.00411098960913364,0.000800631610071588,TRUE,FALSE,FALSE,FALSE
467,110178.785850774,-11522.8252349997,-2.23171680615745,-2.23244246058547,0.00504740569570929,0.000902372727732974,TRUE,FALSE,FALSE,FALSE
501,69956.4673137135,11380.8841486067,2.20406570108924,2.20476027138925,0.00490272048209037,0.000854796304397435,TRUE,FALSE,FALSE,FALSE
504,107143.522583552,12805.6583559072,2.47979667426649,2.4808399060274,0.00474519691886201,0.00104711425675724,TRUE,FALSE,FALSE,FALSE
525,109517.499063326,10482.500936674,2.02961783345634,2.03013493870582,0.00444814507484852,0.000657333197846213,TRUE,FALSE,FALSE,FALSE
530,102554.90973155,10911.3513580572,2.11287834268291,2.11347620813169,0.00466172471994312,0.000746735625259298,TRUE,FALSE,FALSE,FALSE
535,104839.33407589,-10839.0131997192,-2.09881868217814,-2.09940241363263,0.00461233584653937,0.000728988168789644,TRUE,FALSE,FALSE,FALSE
570,103934.636996022,13381.7903099276,2.59019005176646,2.59139824585652,0.00384301390111989,0.000924377574930967,TRUE,FALSE,FALSE,FALSE
594,107993.694727854,-10602.6306348873,-2.05373509365409,-2.05427486924369,0.0052796056798521,0.000799523590497065,TRUE,FALSE,FALSE,FALSE
606,85894.7387385373,-14807.757476097,-2.86726026215571,-2.86895223924729,0.00457862863978468,0.00135053131926957,TRUE,FALSE,FALSE,FALSE
611,132004.644550485,-12004.6445504848,-2.32456369064107,-2.32539990586399,0.00464427770191144,0.000900460633779058,TRUE,FALSE,FALSE,FALSE
626,68623.6797820484,10827.7938304036,2.09671380885646,2.09729544186091,0.0046765153072358,0.000737697630312582,TRUE,FALSE,FALSE,FALSE
634,90610.06833903,13583.2046134281,2.63004181414212,2.63131333270624,0.00449880499861085,0.00111640727651715,TRUE,FALSE,FALSE,FALSE
637,44516.5955514956,18909.3692540734,3.66062786308867,3.66433961648856,0.00412339586882676,0.0019815390370002,TRUE,FALSE,FALSE,TRUE
646,109003.093244613,10996.9067553867,2.12983748391405,2.13045267096728,0.00502822833124376,0.000818727036236132,TRUE,FALSE,FALSE,FALSE
669,51612.168325522,-10946.9777306607,-2.12052019662397,-2.12112583020363,0.00535924719861887,0.000865295281163698,TRUE,FALSE,FALSE,FALSE
679,130214.747625657,-10214.7476256572,-1.97816166340795,-1.9786323268708,0.00483675725760207,0.000679243507770695,TRUE,FALSE,FALSE,FALSE
689,85525.0706692735,-10570.6779979898,-2.04751571381701,-2.04804958735906,0.0052503228935655,0.000790257565048645,TRUE,FALSE,FALSE,FALSE
737,105943.572411243,-9448.10108023757,-1.83040042756474,-1.83075177873829,0.00560381093287816,0.000674307839363048,TRUE,FALSE,FALSE,FALSE
802,70621.8043462091,-11695.8617311715,-2.2652131886413,-2.26597762080584,0.00503250172132405,0.000926904881952834,TRUE,FALSE,FALSE,FALSE
804,94760.2794512818,11798.3998798026,2.28372787254806,2.28451427269015,0.00386058456644875,0.000721877688414396,TRUE,FALSE,FALSE,FALSE
815,66326.9840676171,11486.0443186067,2.22427613380573,2.2249933418488,0.00476376881639607,0.000845753632600824,TRUE,FALSE,FALSE,FALSE
846,95812.3764658464,12117.7574677164,2.34670431653525,2.34756833413506,0.00484581391324018,0.000957712313708948,TRUE,FALSE,FALSE,FALSE
864,59908.0066499784,-9814.50241144703,-1.9010503651598,-1.90145622103768,0.00525461538486635,0.000681801911935138,TRUE,FALSE,FALSE,FALSE
879,105052.401559547,14696.5571083433,2.84498801537166,2.84663724570702,0.00406054606339492,0.00117856721404798,TRUE,FALSE,FALSE,FALSE
880,84829.8383840906,13612.55817082,2.63669656093408,2.63797885293606,0.00523201823065268,0.00130589940613646,TRUE,FALSE,FALSE,FALSE
897,98863.8452154775,11605.6415291782,2.246336227545,2.24707865421474,0.00378887268718827,0.000685409493041803,TRUE,FALSE,FALSE,FALSE
905,88364.6155291028,-14095.8960683465,-2.72976135602176,-2.73120038669073,0.00482691519400073,0.00129081016952306,TRUE,FALSE,FALSE,FALSE
941,90931.6615360641,11427.6338191624,2.21265384471527,2.21335798039556,0.0044839083517286,0.000787548602068982,TRUE,FALSE,FALSE,FALSE
943,101282.53432914,-10457.2141877553,-2.02526615699467,-2.02577923352518,0.00498322547915906,0.000733645597533265,TRUE,FALSE,FALSE,FALSE
946,103341.175689734,12466.290807142,2.41398696465995,2.4149389578776,0.00466959110621699,0.000976390151906969,TRUE,FALSE,FALSE,FALSE
969,88373.9277114363,-11296.649837484,-2.1872765762768,-2.1879526771605,0.00446957656948399,0.000767116312350768,TRUE,FALSE,FALSE,FALSE
971,97145.6305293023,-15401.4166297262,-2.98301382897609,-2.98493934878194,0.00511378891645966,0.00163351034032302,TRUE,FALSE,FALSE,FALSE
975,130603.010303178,-10603.0103031777,-2.05363513409982,-2.05417481452227,0.00511152054286018,0.000773863296092349,TRUE,FALSE,FALSE,FALSE
984,131839.612114145,-11839.6121141454,-2.2927393228924,-2.29353655408929,0.00475914417268257,0.000897742929505707,TRUE,FALSE,FALSE,FALSE
1029,52119.148949722,10991.9703253658,2.12863337458305,2.12924732190757,0.00479633473346305,0.000779904130993939,TRUE,FALSE,FALSE,FALSE
1043,85306.8142102566,-12608.9235747631,-2.44119744216791,-2.4421865295956,0.00433596768435601,0.000926874638732445,TRUE,FALSE,FALSE,FALSE
1047,130031.561066838,-10031.5610668383,-1.94316003240725,-1.94360057746146,0.00532200401695035,0.000721525682535362,TRUE,FALSE,FALSE,FALSE
1075,102705.682903022,-13052.6057516158,-2.52749485595405,-2.52860750436196,0.00464847347372935,0.00106550722660287,TRUE,FALSE,FALSE,FALSE
1088,109582.976507904,10045.1087230511,1.94540275867595,1.94584519832669,0.00493182823829959,0.000669909491785318,TRUE,FALSE,FALSE,FALSE
1096,102218.844774363,-10987.88404719,-2.12730615683491,-2.12791873943499,0.00429486241645405,0.00069714075228626,TRUE,FALSE,FALSE,FALSE
1121,89109.6111614493,-12915.743967248,-2.50068650434208,-2.50175979363601,0.00440441867698039,0.000988020838491744,TRUE,FALSE,FALSE,FALSE
1140,58107.0853151453,-16438.2509800344,-3.18153089553774,-3.18390310569682,0.00367384679256542,0.00133301111104195,TRUE,FALSE,FALSE,TRUE
1148,71413.0796080722,12135.2952843627,2.34993450427605,2.35080262515311,0.00470508087676151,0.000932328136339121,TRUE,FALSE,FALSE,FALSE
1168,107109.689099161,12890.310900839,2.49593329169486,2.49699969485599,0.00454084921050868,0.00101489602972061,TRUE,FALSE,FALSE,FALSE
1187,105136.049137583,11522.3010488934,2.23055771349456,2.23128204818009,0.0041037126927742,0.000732203384833141,TRUE,FALSE,FALSE,FALSE
1188,132532.28488736,-12532.2848873601,-2.42623187616589,-2.42720045286741,0.00423119750530911,0.000893328849394562,TRUE,FALSE,FALSE,FALSE
1212,103066.889376432,11608.5332959946,2.24722924279695,2.24797270160543,0.00408435684046586,0.000739669733555426,TRUE,FALSE,FALSE,FALSE
1229,99151.2213788708,-11348.7151989194,-2.19694542226342,-2.19763212257581,0.00409602669014812,0.000708966668451765,TRUE,FALSE,FALSE,FALSE
1262,41869.0916396852,14824.4922626003,2.8693104558445,2.87100640288582,0.00375264769468566,0.0011075610242943,TRUE,FALSE,FALSE,FALSE
1267,56204.3973614409,15780.7562910003,3.05625556360525,3.05833895462783,0.00496376043997268,0.0016641528691039,TRUE,FALSE,FALSE,TRUE
1270,90970.68689588,-11093.6401488747,-2.14768440647435,-2.14831814651078,0.00420526134425904,0.000695674460982685,TRUE,FALSE,FALSE,FALSE
1308,58022.2936384731,12365.3663816299,2.39357162285689,2.39449636188391,0.00394406058538712,0.000810204538411456,TRUE,FALSE,FALSE,FALSE
1313,98614.5015383612,11502.5450603357,2.22666396318478,2.22738387521157,0.00404175301248006,0.000718588012717389,TRUE,FALSE,FALSE,FALSE
1322,76632.6302574091,13274.7699530352,2.57060549390884,2.57178331041638,0.00471891374218282,0.00111894597711011,TRUE,FALSE,FALSE,FALSE
1327,103420.47882257,-17388.4908308704,-3.36684778882771,-3.36969255676146,0.00450422292426388,0.00183176344948514,TRUE,FALSE,FALSE,TRUE
1332,72992.5625834504,-12792.6382188358,-2.47730936926541,-2.47834905762942,0.00477253582862286,0.00105106434576465,TRUE,FALSE,FALSE,FALSE
1361,110432.991178794,9567.0088212062,1.85324329600579,1.85361177137242,0.00539627870461721,0.000665504714194359,TRUE,FALSE,FALSE,FALSE
1413,96285.7421084705,-12759.6678772151,-2.46977446842644,-2.4708034685194,0.00384537995409449,0.000840947854014697,TRUE,FALSE,FALSE,FALSE
1417,36124.4674200653,11404.0427643521,2.20812097607916,2.20882005313997,0.00451538095788021,0.000789855302949503,TRUE,FALSE,FALSE,FALSE
1429,86238.5945122472,-14063.4729391915,-2.72304130667878,-2.72446863523673,0.00450447625591142,0.0011982720179222,TRUE,FALSE,FALSE,FALSE
1431,131371.72007208,-11371.7200720797,-2.20227726607096,-2.20296985447805,0.00489035352141146,0.000851246381588794,TRUE,FALSE,FALSE,FALSE
1440,103726.810157935,10775.5035164711,2.0864344400329,2.08700589043124,0.00452979297886121,0.000707459433361902,TRUE,FALSE,FALSE,FALSE
1456,102455.360323291,13128.9804956884,2.54243892567953,2.54357390104504,0.00476978059277605,0.00110641454023787,TRUE,FALSE,FALSE,FALSE
1462,56320.8977945782,-10991.7711828628,-2.12900581433071,-2.12962014495051,0.0051805456065076,0.000842998681528223,TRUE,FALSE,FALSE,FALSE
1475,102676.8644552,-11420.4668763855,-2.21152544380207,-2.21222831811848,0.00471732822896111,0.000827895461224664,TRUE,FALSE,FALSE,FALSE
1483,104311.784533067,-10588.23913516,-2.04995365696256,-2.05048983941947,0.00431491221825925,0.000650399227908596,TRUE,FALSE,FALSE,FALSE
1484,90473.9475663825,-10208.3882337214,-1.97689881289206,-1.97736836914441,0.00480523727552271,0.000673934369794309,TRUE,FALSE,FALSE,FALSE
1537,102816.388478182,10809.7703771738,2.09285646314212,2.09343426239818,0.00432716897074536,0.000679842097149083,TRUE,FALSE,FALSE,FALSE
1544,109272.769820485,10727.2301795147,2.07714504344422,2.07770738494619,0.00458505137423198,0.000709766771672329,TRUE,FALSE,FALSE,FALSE
1548,103432.372924064,12107.9207251135,2.34415832063385,2.34501911254972,0.0043014735788894,0.000847823096855173,TRUE,FALSE,FALSE,FALSE
1551,132813.446879159,-12813.4468791588,-2.48064509508401,-2.48168953722165,0.0042156802246226,0.000930408382799624,TRUE,FALSE,FALSE,FALSE
1555,90053.9504679972,-13087.0282538022,-2.53413609407843,-2.53525863041063,0.00462938103083805,0.0010666942364587,TRUE,FALSE,FALSE,FALSE
1602,36370.4692532622,-12049.9395442231,-2.33352824002638,-2.33437564450604,0.00480950255359041,0.000939857539890017,TRUE,FALSE,FALSE,FALSE
1609,88469.8823093767,-12377.2016835681,-2.39669865115545,-2.39762753285492,0.00463886537453655,0.000956092522146819,TRUE,FALSE,FALSE,FALSE
1641,56631.215473871,17801.1169767725,3.44756494422894,3.45063314134799,0.00497910090127926,0.00212415207182335,TRUE,FALSE,FALSE,TRUE
1663,102943.121135146,-13474.8570318397,-2.60886626632573,-2.61010388349385,0.00434861051634036,0.00106166820367268,TRUE,FALSE,FALSE,FALSE
1670,134080.672839549,-14080.6728395486,-2.72668691904969,-2.72812058847178,0.00473467627155821,0.00126317620172624,TRUE,FALSE,FALSE,FALSE
1702,43213.8758152268,13286.4675045569,2.57135979592543,2.57253877344091,0.00354895411230808,0.000841031154715622,TRUE,FALSE,FALSE,FALSE
1705,78634.5997787702,-12216.9420451435,-2.36552233934947,-2.36641043078369,0.00451773710914928,0.000906950334268566,TRUE,FALSE,FALSE,FALSE
1748,78007.5204777514,-10554.7480493782,-2.04367691682854,-2.04420716684116,0.00451695203668025,0.000676827596653672,TRUE,FALSE,FALSE,FALSE
1770,81841.8921740679,-13196.2619490547,-2.55544491600434,-2.5565995496318,0.00475176911575911,0.00111352233562822,TRUE,FALSE,FALSE,FALSE
1778,89099.1701485939,-15138.136048411,-2.93093168496794,-2.93274973933471,0.00437447372664639,0.00134797907379868,TRUE,FALSE,FALSE,FALSE
1828,108595.37735895,11404.6226410503,2.20788246565305,2.20858127715645,0.00419902941289822,0.000734125384094001,TRUE,FALSE,FALSE,FALSE
1838,70846.2191284601,-10669.1437159356,-2.06579806921689,-2.06634940350064,0.00448913881920137,0.000687281629721186,TRUE,FALSE,FALSE,FALSE
1876,96931.4595983403,-16798.177537428,-3.25170925995308,-3.25425393285806,0.00399039880197101,0.00151292765225156,TRUE,FALSE,FALSE,TRUE
