salary,fitted,residual,studentized_residual,country,college_tier,specialization,industry,hit_cap
30659.410744684283,49779.21558415372,-19119.80483946943,-3.705474167811967,India,Tier 3,AI/ML,Finance,FALSE
80866.63344439353,99597.24149133216,-18730.608046938625,-3.6293649179266,Canada,Tier 2,Data Science,Healthcare,FALSE
86031.98799169964,103420.47882256964,-17388.49083087,-3.3696925567614615,Canada,Tier 1,Cybersecurity,Healthcare,FALSE
79673.14324279255,96915.74478382363,-17242.60154103108,-3.342121289273368,UK,Tier 2,Cybersecurity,Tech,FALSE
85704.19903897584,102881.34368254736,-17177.14464357151,-3.3280195239752204,UK,Tier 2,AI/ML,Manufacturing,FALSE
80133.28206091232,96931.45959833985,-16798.177537427535,-3.254253932858064,UK,Tier 2,Core CS,Finance,FALSE
41668.83433511095,58107.08531514481,-16438.25098003386,-3.1839031056968197,India,Tier 2,AI/ML,Tech,FALSE
31719.839873145855,47953.265678278636,-16233.425805132782,-3.1461740900254345,India,Tier 3,Cybersecurity,Tech,FALSE
37469.16615665091,53431.86931659872,-15962.703159947812,-3.0920098630214707,India,Tier 2,Data Science,Other,FALSE
43889.9356885149,59767.755818796424,-15877.82013028152,-3.0757419008471882,India,Tier 2,Data Science,Healthcare,FALSE
81744.21389957605,97145.63052930182,-15401.41662972578,-2.984939348781937,Germany,Tier 1,Cybersecurity,Manufacturing,FALSE
87248.34008351275,102597.57245664824,-15349.23237313549,-2.9738220800942203,Germany,Tier 1,Cloud,Finance,FALSE
73961.03410018285,89099.17014859337,-15138.136048410517,-2.932749739334713,Canada,Tier 2,Cloud,Finance,FALSE
71086.98126244027,85894.7387385369,-14807.757476096618,-2.8689522392472893,Germany,Tier 2,Cybersecurity,Other,FALSE
57240.99885321606,72001.11680278275,-14760.117949566702,-2.8606519190757416,Germany,Tier 3,Core CS,Healthcare,FALSE
67257.75472279688,81919.11639120769,-14661.361668410811,-2.840296540801664,Canada,Tier 3,Data Science,Consulting,FALSE
84974.20520038156,99623.04254943144,-14648.837349049882,-2.8377075313824904,UK,Tier 2,Cybersecurity,Manufacturing,FALSE
57548.0165073995,72173.65738679643,-14625.640879396928,-2.8352949853042455,UK,Tier 3,Core CS,Consulting,FALSE
84195.39654288175,98798.32131593741,-14602.924773055665,-2.828346738264672,UK,Tier 2,Cybersecurity,Finance,FALSE
33464.56896750182,47861.21356511465,-14396.64459761283,-2.788035325195454,India,Tier 2,Cybersecurity,Tech,FALSE
63055.66764657109,77320.56079072859,-14264.893144157502,-2.7637538456532127,Canada,Tier 3,Cybersecurity,Healthcare,FALSE
70350.04101459235,84551.7276048036,-14201.68659021124,-2.7523551779482207,USA,Tier 3,Cloud,Other,FALSE
90274.17509551464,104467.62922544313,-14193.45412992849,-2.7498542264625128,Canada,Tier 1,Cybersecurity,Manufacturing,FALSE
74268.71946075627,88364.61552910236,-14095.896068346092,-2.731200386690726,USA,Tier 3,Cybersecurity,Finance,FALSE
120000,134080.67283954806,-14080.672839548071,-2.728120588471781,USA,Tier 1,Data Science,Finance,TRUE
72175.12157305566,86238.59451224672,-14063.472939191068,-2.724468635236724,Germany,Tier 3,AI/ML,Tech,FALSE
91050.22283604964,105046.59660188801,-13996.373765838383,-2.7112817105216567,USA,Tier 2,Core CS,Other,FALSE
76300.91879383293,90153.84588150651,-13852.927087673588,-2.6837988298372877,Germany,Tier 2,Cybersecurity,Manufacturing,FALSE
77882.17569212464,91699.41695198847,-13817.241259863833,-2.677248985392652,USA,Tier 3,Cloud,Consulting,FALSE
44653.22311720335,58419.301807105134,-13766.078689901788,-2.665726838962666,India,Tier 2,AI/ML,Finance,FALSE
35546.326727923544,49296.67823155257,-13750.351503629026,-2.663002634865949,India,Tier 2,Core CS,Consulting,FALSE
120000,133698.71630367707,-13698.716303677067,-2.6535630786723816,USA,Tier 1,AI/ML,Tech,TRUE
120000,133698.26968073822,-13698.269680738225,-2.654808122123522,USA,Tier 1,Data Science,Consulting,TRUE
61822.81129172842,75513.84322067277,-13691.031928944352,-2.6522482473112357,Canada,Tier 3,Cloud,Finance,FALSE
93490.05021505164,107156.05649468138,-13666.006279629737,-2.6466991730705436,USA,Tier 2,Cloud,Finance,FALSE
37545.743777678945,51193.16373167671,-13647.419953997765,-2.6431793223650852,India,Tier 2,AI/ML,Other,FALSE
120000,133624.29890158164,-13624.298901581633,-2.639107124254335,USA,Tier 1,AI/ML,Tech,TRUE
89468.26410330617,102943.12113514543,-13474.85703183926,-2.6101038834938475,Germany,Tier 1,Core CS,Consulting,FALSE
35108.730901272225,48576.60331495486,-13467.872413682637,-2.6080497509808307,India,Tier 2,Core CS,Tech,FALSE
61496.48185690914,74918.319242561,-13421.837385651868,-2.600119894384147,Canada,Tier 3,Cloud,Healthcare,FALSE
93117.88190486928,106325.36326617538,-13207.48136130609,-2.5583950507217508,Canada,Tier 1,Cloud,Consulting,FALSE
68645.63022501324,81841.89217406749,-13196.261949054238,-2.556599549631805,UK,Tier 3,Cloud,Tech,FALSE
48362.62635355436,61551.244019573416,-13188.617666019056,-2.5549531770295184,India,Tier 1,Data Science,Healthcare,FALSE
65731.26114164758,78832.71041873364,-13101.449277086056,-2.53887847123254,UK,Tier 3,Cybersecurity,Manufacturing,FALSE
71138.25859236543,84226.31410703798,-13088.055514672547,-2.5353276368307682,UK,Tier 3,Data Science,Healthcare,FALSE
76966.92221419493,90053.95046799672,-13087.028253801795,-2.5352586304106315,USA,Tier 3,Cloud,Finance,FALSE
89653.07715140647,102705.6829030218,-13052.605751615332,-2.528607504361958,Canada,Tier 1,Cybersecurity,Healthcare,FALSE
78832.57183747318,91793.89540393645,-12961.323566463272,-2.5102171520767937,UK,Tier 2,Cybersecurity,Healthcare,FALSE
78374.05154050769,91333.74319546616,-12959.691654958466,-2.5102129325661653,Canada,Tier 2,Core CS,Manufacturing,FALSE
37117.788389786074,50068.092700347624,-12950.304310561554,-2.5074110374224223,India,Tier 2,Core CS,Tech,FALSE
76193.8671942013,89109.6111614489,-12915.743967247605,-2.5017597936360056,UK,Tier 2,Cybersecurity,Consulting,FALSE
86012.57298433705,98903.17622046759,-12890.60323613054,-2.4975161910675996,USA,Tier 3,Cloud,Finance,FALSE
92814.39583713864,105629.2603476836,-12814.864510544949,-2.482339443529545,Germany,Tier 1,Cybersecurity,Healthcare,FALSE
120000,132813.44687915835,-12813.446879158348,-2.4816895372216488,USA,Tier 1,AI/ML,Tech,TRUE
48603.0219595283,61411.530114956986,-12808.50815542869,-2.481031851823754,India,Tier 2,AI/ML,Other,FALSE
60199.92436461462,72992.56258344997,-12792.63821883534,-2.478349057629423,Canada,Tier 3,Cloud,Other,FALSE
83526.07423125542,96285.74210847009,-12759.667877214677,-2.4708034685193976,UK,Tier 2,Cybersecurity,Consulting,FALSE
120000,132748.5443965072,-12748.54439650721,-2.469577634206165,USA,Tier 1,AI/ML,Tech,TRUE
73889.04415081134,86620.21075535237,-12731.166604541017,-2.4662337718801823,USA,Tier 3,Cybersecurity,Manufacturing,FALSE
58536.306423508504,71254.61348447806,-12718.307060969557,-2.4645038061887448,Germany,Tier 3,Cybersecurity,Manufacturing,FALSE
72697.89063549359,85306.81421025621,-12608.923574762615,-2.4421865295955953,Germany,Tier 2,Cloud,Other,FALSE
92038.745232905,104644.88597047016,-12606.140737565165,-2.4419220724956063,Canada,Tier 1,Cybersecurity,Other,FALSE
