"term","estimate","std.error","statistic","p.value","conf.low","conf.high","p_value_label"
"(Intercept)",85438.0233556488,794.807864361581,107.495191211118,0,83879.9206703575,86996.1260409401,"<2.2e-16"
"cgpa",4323.64511554932,88.4291550990564,48.8938869845139,0,4150.2929002582,4496.99733084043,"<2.2e-16"
"aptitude_score",4.49586682196754,4.56766487216551,0.984281235115234,0.325016131371081,-4.45836126502857,13.4500949089636,"0.325"
"college_tierTier 2",-15520.5653713365,358.623900807658,-43.2781120733521,0,-16223.5942263755,-14817.5365162976,"<2.2e-16"
"college_tierTier 3",-32840.971193443,383.181194646224,-85.7061141107505,0,-33592.1409730865,-32089.8014137995,"<2.2e-16"
"countryGermany",-3686.44640224014,376.578413526329,-9.78931948785853,1.82745325540796e-22,-4424.67241087357,-2948.22039360671,"1.827e-22"
"countryIndia",-52756.2613365554,386.504689532275,-136.495785860704,0,-53513.9463339499,-51998.576339161,"<2.2e-16"
"countryUK",2179.56011712012,385.032471243593,5.66071767942192,1.57575666043005e-08,1424.76118486387,2934.35904937637,"1.576e-08"
"countryUSA",7385.86694091872,373.628948205503,19.7679194194994,2.29335081943515e-84,6653.42292066589,8118.31096117155,"2.293e-84"
"university_ranking_band300+",-2170.79128778707,150.960219342397,-14.3798895976922,3.87829454234625e-46,-2466.7263604961,-1874.85621507804,"3.878e-46"
"university_ranking_bandTop 100",2658.76837969487,172.315184082033,15.4296813357384,1.0048943651733e-52,2320.97007261553,2996.5666867742,"1.005e-52"
"specializationCloud",-9846.99492869875,208.271969681627,-47.2795016235324,0,-10255.2811696666,-9438.70868773093,"<2.2e-16"
"specializationCore CS",-10292.7719269923,210.748521374868,-48.8391181102717,0,-10705.9130794633,-9879.63077452129,"<2.2e-16"
"specializationCybersecurity",-10007.7417847709,209.140410378173,-47.8517841993072,0,-10417.7304746474,-9597.75309489435,"<2.2e-16"
"specializationData Science",-270.877268998592,209.093718705251,-1.29548257439734,0.1952026301001,-680.774426790159,139.019888792975,"0.195"
"industryFinance",3627.63763343673,224.709198077485,16.1436988982793,1.9033949379339e-57,3187.12864927436,4068.14661759911,"1.903e-57"
"industryHealthcare",165.363702979881,223.744454883729,0.739073971982072,0.459890401839254,-273.254045541517,603.981451501279,"0.460"
"industryManufacturing",305.644548391791,232.357012691855,1.31540918369926,0.188421658302312,-149.856839622589,761.145936406172,"0.188"
"industryOther",-45.7769395405324,233.103363054625,-0.196380433729757,0.844318924827328,-502.741436510603,411.187557429539,"0.844"
"industryTech",6683.15674128453,221.792830134259,30.1324291557981,4.014574240115e-186,6248.36486301326,7117.94861955579,"4.015e-186"
"college_tierTier 2:countryGermany",-28.9866966342613,501.311223397601,-0.0578217587825104,0.953892492337121,-1011.73283990485,953.759446636323,"0.954"
"college_tierTier 3:countryGermany",93.4460114698459,540.996013507554,0.172729574963016,0.862869702903331,-967.096264436147,1153.98828737584,"0.863"
"college_tierTier 2:countryIndia",6174.50295613296,506.886983075284,12.181222170418,9.59103357499862e-34,5180.82636474292,7168.17954752299,"9.591e-34"
"college_tierTier 3:countryIndia",14470.0369114718,540.520400929775,26.7705657114537,2.12531011484053e-149,13410.427003334,15529.6468196097,"2.125e-149"
"college_tierTier 2:countryUK",1972.86050819016,510.829797950953,3.86207013784969,0.000113589272329024,971.454614259419,2974.26640212091,"1.136e-04"
"college_tierTier 3:countryUK",1421.46594423163,545.932001472036,2.60374174878708,0.00924347445229452,351.247397560244,2491.68449090301,"0.009"
"college_tierTier 2:countryUSA",9482.52826314087,499.744905803772,18.9747372169597,4.62072018130598e-78,8502.85265271023,10462.2038735715,"4.621e-78"
"college_tierTier 3:countryUSA",10003.8387004159,533.782343449979,18.7414192754267,2.99060987016111e-76,8957.43775248545,11050.2396483463,"2.991e-76"
