country,specialization,n,mean_residual,median_residual,residual_sd,mean_abs_residual,rmse,percent_overpredicted,percent_underpredicted,percent_capped
Canada,AI/ML,219,1452.37,1277.94,5244.04,4344.47,5429.9,37.9,62.1,21
Canada,Cloud,256,-820.47,-430.19,4883.56,3778.21,4942.59,54.69,45.31,3.91
Canada,Core CS,247,-1084.43,-1053.98,4947.66,4083.87,5055.32,59.11,40.89,1.62
Canada,Cybersecurity,244,-424.26,-302.29,5292.02,4149.9,5298.18,50.82,49.18,2.87
Canada,Data Science,250,1053.39,1285.8,4796.16,3832.73,4901.1,38.4,61.6,19.2
Germany,AI/ML,272,1203.75,1217.58,4824.28,3874.83,4963.58,39.71,60.29,14.34
Germany,Cloud,229,-852.74,-799.78,5114.8,4228.22,5174.37,55.9,44.1,0.87
Germany,Core CS,249,-956.95,-1080.62,4885.73,4058.34,4968.92,61.04,38.96,0.4
Germany,Cybersecurity,253,-1027.3,-469.28,5153.22,4083.25,5244.62,56.92,43.08,1.58
Germany,Data Science,231,1584.6,1563.7,4807.28,4052.93,5051.81,40.26,59.74,16.45
India,AI/ML,250,-1615.51,-1472.77,4947.28,4090.28,5194.95,61.6,38.4,0
India,Cloud,254,1435.31,1508.15,5202.02,4278.98,5386.51,40.55,59.45,0
India,Core CS,244,1192.32,1366.67,4986.21,4090.34,5116.83,39.34,60.66,0
India,Cybersecurity,242,957.29,1120.19,4966.74,3877.44,5048.07,42.15,57.85,0
India,Data Science,264,-1830.61,-1778.46,4761.72,4027.44,5093.06,66.29,33.71,0
UK,AI/ML,243,547.12,560.56,5129.82,4115.13,5148.41,44.44,55.56,33.33
UK,Cloud,264,-420.37,-617.22,4823.08,3947.95,4832.25,54.17,45.83,4.55
UK,Core CS,204,-926.17,-1312.66,5016.84,4049.28,5089.51,57.84,42.16,6.37
UK,Cybersecurity,244,-300.74,394.03,5387.4,4277.28,5384.75,46.72,53.28,5.74
UK,Data Science,225,1068.2,1391.78,4971.76,4087.69,5074.41,39.56,60.44,30.67
USA,AI/ML,242,-1547.78,-1299.85,5542.64,4547.03,5743.65,62.4,37.6,65.7
USA,Cloud,255,595.01,775.74,5637.12,4608.87,5657.44,45.49,54.51,37.25
USA,Core CS,254,1591.14,2167.87,4929.76,4298.7,5170.93,35.83,64.17,31.89
USA,Cybersecurity,251,817.3,1125.46,4850.56,4010.11,4909.39,41.83,58.17,29.88
USA,Data Science,267,-1447.4,-1346.5,4972.41,4117.39,5169.84,60.3,39.7,61.42
