country,college_tier,n,mean_residual,median_residual,residual_sd,mean_abs_residual,rmse,percent_overpredicted,percent_underpredicted,percent_capped
Canada,Tier 1,367,-0,828.61,4478.71,3560.86,4472.61,43.6,56.4,28.61
Canada,Tier 2,484,0,-250.43,5449.6,4327.28,5443.97,51.24,48.76,2.07
Canada,Tier 3,365,0,166.45,5291.48,4101.1,5284.23,49.59,50.41,0
Germany,Tier 1,392,0,340.26,4867.89,3891.78,4861.68,46.94,53.06,20.66
Germany,Tier 2,494,-0,-111.86,5354.48,4261.61,5349.06,51.62,48.38,0.61
Germany,Tier 3,348,-0,-589.33,4930.33,3940.3,4923.24,53.45,46.55,0
India,Tier 1,352,0,-86.11,5014.59,3942.34,5007.47,51.14,48.86,0
India,Tier 2,515,0,310.38,5283.61,4108.82,5278.47,48.54,51.46,0
India,Tier 3,387,0,-159.81,5176.78,4148.09,5170.09,51.68,48.32,0
UK,Tier 1,358,-0,392.91,4213.45,3383.71,4207.57,45.81,54.19,46.37
UK,Tier 2,469,-0,101.89,5539,4456.88,5533.09,49.68,50.32,4.9
UK,Tier 3,353,0,23.98,5346.52,4334.35,5338.94,49.58,50.42,0
USA,Tier 1,404,0,57.88,6227.94,5244.62,6220.23,49.5,50.5,92.57
USA,Tier 2,490,0,96.69,4238.13,3397.9,4233.8,48.78,51.22,40.2
USA,Tier 3,375,0,35.51,5595.07,4505.59,5587.61,49.33,50.67,0.8
