country,specialization,n,severe_count,within_group_severe_rate
USA,AI/ML,242,22,9.09
Canada,Cloud,256,22,8.59
India,Data Science,264,21,7.95
Canada,Core CS,247,19,7.69
Germany,Cybersecurity,253,19,7.51
USA,Data Science,267,19,7.12
Canada,Cybersecurity,244,16,6.56
UK,Cybersecurity,244,16,6.56
USA,Cloud,255,16,6.27
India,AI/ML,250,15,6
Germany,Core CS,249,14,5.62
UK,Core CS,204,11,5.39
Germany,Cloud,229,12,5.24
Canada,AI/ML,219,10,4.57
UK,AI/ML,243,11,4.53
UK,Cloud,264,11,4.17
India,Cybersecurity,242,8,3.31
USA,Cybersecurity,251,8,3.19
Germany,AI/ML,272,8,2.94
UK,Data Science,225,6,2.67
India,Cloud,254,6,2.36
USA,Core CS,254,6,2.36
India,Core CS,244,5,2.05
Canada,Data Science,250,5,2
Germany,Data Science,231,2,0.87
